type,source,overall_accuracy,date,entity,relation,hallucinated,hallucination_type,output
point_in_time,template,0.9118,1.0000,0.7353,1.0000,False,none,"The event known as announced polio vaccine took place on April 12, 1955."
point_in_time,template,0.9000,1.0000,0.7000,1.0000,False,none,The event known as proposed Hawking radiation took place on 1974.
intervals,template,0.9583,1.0000,0.8750,1.0000,False,none,"In the 6 years from September 1, 1939 to September 2, 1945, lasted."
intervals,template,0.7500,1.0000,0.2500,1.0000,False,none,occurred ran from 14th century to 17th century.
intervals,template,0.8750,1.0000,0.6250,1.0000,False,none,spanned lasted from 1890 to 1934.
intervals,template,0.9667,1.0000,0.9000,1.0000,False,none,"In the 42 years from March 12, 1947 to December 3, 1989, persisted."
intervals,template,0.9000,1.0000,0.7000,1.0000,True,relation,defined ran from 1837 to 1901.
intervals,template,0.8889,1.0000,0.6667,1.0000,True,relation,transformed ran from 1760 to 1840.
intervals,template,0.8889,1.0000,0.6667,1.0000,False,none,shaped lasted from 1685 to 1815.
intervals,template,0.9286,1.0000,0.7857,1.0000,False,none,"In the 11 years from 1961 to 1972, operated."
intervals,template,0.9444,1.0000,0.8333,1.0000,False,none,"In the 5 years from 1995 to 2000, characterized tech."
intervals,template,0.9286,1.0000,0.7857,1.0000,False,none,"In the 10 years from 1929 to 1939, devastated."
intervals,template,0.9545,1.0000,0.8636,1.0000,False,none,"In the 1000 years from 5th century to 15th century, dominated Europe."
intervals,template,0.7222,1.0000,0.1667,1.0000,True,relation,flourished ran from 3100 BCE to 30 BCE.
intervals,template,0.7222,1.0000,0.1667,1.0000,True,relation,governed ran from 27 BCE to 476 CE.
intervals,template,0.6667,0.5000,0.5000,1.0000,True,relation,endured ran from 330 CE to 1453 CE.
intervals,template,0.7778,1.0000,0.3333,1.0000,False,none,"In the 600 years from 8th century to 14th century, flourished."
intervals,template,0.9444,1.0000,0.8333,1.0000,False,none,"In the 273 years from 793 to 1066, influenced."
intervals,template,0.7917,1.0000,0.3750,1.0000,False,none,"In the 300 years from 14th century to 17th century, transformed."
intervals,template,0.9286,1.0000,0.7857,1.0000,False,none,"In the 356 years from 1478 to 1834, persisted."
intervals,template,0.7778,1.0000,0.3333,1.0000,False,none,"In the 200 years from 16th century to 18th century, revolutionized."
intervals,template,0.9286,1.0000,0.7857,1.0000,False,none,"In the 9 years from 1920 to 1929, characterized."
sequences,template,0.0909,0.0000,0.2727,0.0000,False,none,The way it went was this: Archduke assassinated. Then Ultimatum issued to Serbia. Then War declared 
sequences,template,0.0988,0.0000,0.2963,0.0000,True,relation,The way it went was this: Berlin Wall erected. Then Kennedy visits Berlin. Then Cuban Missile Crisis
sequences,template,0.5071,0.2000,0.3214,1.0000,False,none,The way it went was this: Ancient Egypt thrived. Then Roman Empire rose. Then Middle Ages began. Key
sequences,template,0.4211,0.0000,0.2632,1.0000,True,relation,The way it went was this: Internet invented. Then Web created. Then Browsers commercialized. Key fac
sequences,template,0.4103,0.0000,0.2308,1.0000,True,relation,The way it went was this: COVID-19 emerges. Then Lockdowns implemented. Then Vaccines developed. Key
sequences,polished,0.6377,0.4000,0.5130,1.0000,True,relation,The Industrial Revolution started in 1760. The steam engine was improved by 1769. Factories then use
sequences,template,0.4231,0.0000,0.2692,1.0000,True,relation,The way it went was this: French Revolution erupted. Then Bastille stormed. Then Rights declared. Ke
sequences,template,0.4058,0.0000,0.2174,1.0000,True,relation,The way it went was this: Civil War started. Then Battle of Gettysburg. Then Emancipation Proclamati
sequences,template,0.4103,0.0000,0.2308,1.0000,True,relation,5 steps in all. First World War I began. Then Trench warfare dominated. Last US joined the war. Key 
sequences,template,0.4321,0.0000,0.2963,1.0000,True,relation,The way it went was this: Nazi Party rose. Then Hitler became Chancellor. Then World War II began. K
sequences,template,0.0833,0.0000,0.2500,0.0000,True,relation,The way it went was this: Heliocentric theory proposed. Then Planetary laws discovered. Then Telesco
sequences,template,0.4203,0.0000,0.2609,1.0000,True,relation,The way it went was this: Atoms proposed. Then Atomic structure discovered. Then Electrons identifie
sequences,polished,0.3333,0.0000,0.0000,1.0000,True,entity,"Here is a simplified version that follows your guidelines:

First, people came up with the idea of e"
sequences,template,0.4306,0.0000,0.2917,1.0000,True,relation,The way it went was this: Germ theory proposed. Then Bacteria identified. Then Antiseptic practices 
sequences,template,0.4167,0.0000,0.2500,1.0000,False,none,"In 49 years, this is what happened: Radioactivity discovered. Then Radium isolated. Then Atomic ener"
sequences,template,0.4127,0.0000,0.2381,1.0000,True,relation,The way it went was this: Telegraph invented. Then Telegraph networks expanded. Then Telephone inven
sequences,template,0.4864,0.2000,0.2593,1.0000,False,none,The way it went was this: First computers built. Then Programming languages developed. Then Personal
sequences,template,0.4058,0.0000,0.2174,1.0000,True,relation,The way it went was this: Photography invented. Then Color photography developed. Then Motion pictur
sequences,template,0.0909,0.0000,0.2727,0.0000,False,none,The way it went was this: Archduke assassinated. Then Ultimatum issued to Serbia. Then War declared 
sequences,template,0.0988,0.0000,0.2963,0.0000,True,relation,The way it went was this: Berlin Wall erected. Then Kennedy visits Berlin. Then Cuban Missile Crisis
causality,template,0.4394,1.0000,0.3182,0.0000,True,relation,Archduke Franz Ferdinand assassinated. This made it so: Austria-Hungary declared war on Serbia. Key 
causality,template,0.9400,1.0000,0.8200,1.0000,False,none,"Stock market crash on October 29, 1929. This made it so: Great Depression lasted throughout 1930s. K"
causality,polished,0.9103,1.0000,0.7308,1.0000,True,relation,The printing press was invented around 1440. This helped ideas spread quickly. It allowed many books
causality,polished,0.5526,1.0000,0.6579,0.0000,True,relation,Penicillin was found in 1928. It changed medicine a lot. It helped fight bacterial infections. Antib
causality,polished,0.5833,1.0000,0.7500,0.0000,False,none,The Russian Revolution happened in 1917. It led to the rise of the Soviet Union. The Soviets became 
causality,polished,0.5606,1.0000,0.1818,0.5000,False,none,"The Industrial Revolution happened in the 18th century.  
It caused cities to grow fast.  
Many peop"
causality,polished,0.7333,1.0000,0.2000,1.0000,False,none,The steam engine was invented. It changed how we move and make goods. Transportation and factories b
causality,template,0.9348,1.0000,0.8043,1.0000,False,none,Berlin Wall fell in 1989. This made it so: Cold War ended and Germany reunified. Key facts: Berlin W
causality,template,0.6034,1.0000,0.3103,0.5000,True,relation,Climate change from greenhouse emissions. This made it so: Rising sea levels threaten coastal region
causality,polished,0.3833,1.0000,0.1500,0.0000,False,none,The Internet was invented. It changed how people talk and trade. It made global talk and trade faste
causality,template,0.4487,1.0000,0.3462,0.0000,False,none,Treaty of Versailles imposed on Germany. This made it so: Nazi Party rise fueled by resentment. Key 
causality,polished,0.7407,1.0000,0.2222,1.0000,False,none,British taxed the American colonies. This caused the American Revolution.
causality,polished,0.6984,1.0000,0.0952,1.0000,False,none,"The French king ruled badly and ran out of money.  
This led to the French Revolution.  
The revolut"
causality,polished,0.5606,1.0000,0.1818,0.5000,False,none,The Archduke was killed. This caused the alliance system to start War I. Countries honored their pro
causality,polished,0.7273,1.0000,0.1818,1.0000,False,none,Nazi expansion spread. It caused World War II to begin in Europe. The Nazis used military force. The
causality,polished,0.3611,1.0000,0.0833,0.0000,True,relation,"Scientists saw patterns in how genes are passed.  
This helped improve the idea of evolution.  
They"
causality,polished,0.8889,1.0000,0.6667,1.0000,False,none,Röntgen found X-rays in 1895. This changed how doctors see inside the body. Medical images like X-ra
causality,polished,0.7200,1.0000,0.1600,1.0000,False,none,"Einstein created the theory of relativity.  
This change made physics very different.  
It revolutio"
causality,template,0.9259,1.0000,0.7778,1.0000,False,none,Transistor developed in 1947. This made it so: Modern computer age began. Key facts: Transistor deve
causality,polished,0.7167,1.0000,0.1500,1.0000,False,none,Synthetic insulin was made. This led to easier care for people with diabetes.
overlaps,template,0.6282,1.0000,0.8846,0.0000,True,relation,"In 1950-1953, Korean War and Cold War and Nuclear arms race were on. Key facts: Korean War."
overlaps,polished,0.3968,1.0000,0.1905,0.0000,True,relation,"In the late 1500s and early 1600s, many things happened.  
Shakespeare wrote his plays.  
The Globe "
overlaps,template,0.6404,1.0000,0.9211,0.0000,False,none,"In 1969, Apollo 11 mission and Vietnam War and Civil Rights Movement and Computer Age beginning were"
overlaps,template,0.6404,1.0000,0.9211,0.0000,True,relation,"In 2020-2023, COVID-19 pandemic and Remote work mainstream and Digital transformation and Supply cha"
overlaps,polished,0.7193,1.0000,0.1579,1.0000,False,none,"All four events happen at once.  
These are the Renaissance in Italy, the Age of Exploration, the Pr"
overlaps,polished,0.9167,1.0000,0.7500,1.0000,True,relation,"Between 1948 and 1950, many key events happened. Berlin faced a blockade. NATO was formed. Israel wa"
overlaps,polished,0.7368,1.0000,0.2105,1.0000,True,relation,"In the late 1700s, many big events happened. Britain went through the Industrial Revolution. The Ame"
overlaps,template,0.6579,1.0000,0.9737,0.0000,True,relation,"In 1995-2000, Dot-com boom and Mobile computing rise and Broadband expansion and E-commerce emerged "
overlaps,polished,0.7302,1.0000,0.1905,1.0000,False,none,All four events happen at once. The Medieval period and the Renaissance are starting. Feudalism is e
overlaps,polished,0.3833,1.0000,0.1500,0.0000,False,none,"In the late 1700s, many big changes happened. The Age of Enlightenment began. The Industrial Revolut"
overlaps,polished,0.8509,1.0000,0.5526,1.0000,False,none,"From 1837 to 1901, many events happened at the same time. The Victorian Era was in full swing. The I"
overlaps,template,0.6270,1.0000,0.8810,0.0000,True,relation,"In 1870-1914, Belle Époque flourishing and Industrial society maturing and Imperialism expanding and"
overlaps,polished,0.5370,1.0000,0.6111,0.0000,True,relation,"From 1920 to 1929, four big events happened at the same time. The Roaring Twenties grew loud. The Ja"
overlaps,template,0.9762,1.0000,0.9286,1.0000,True,relation,"In 1939-1945, World War II in Europe and World War II in Pacific and Holocaust and Science research "
overlaps,template,0.4630,1.0000,0.3889,0.0000,True,relation,All 4 at once: Vietnam War and Space Race and Civil Rights Movement and Counterculture movement. Key
overlaps,polished,0.5870,1.0000,0.7609,0.0000,True,relation,"Between 1989 and 1991, big changes happened. The Berlin Wall fell. Soviet communism ended. Germany b"
overlaps,polished,0.7083,1.0000,0.1250,1.0000,True,relation,All four events happened at the same time. The Internet grew fast. Mobile phones became popular. The
overlaps,polished,0.5351,1.0000,0.6053,0.0000,False,none,"Between 2001 and 2003, several big events happened. The September 11 attacks took place. The U.S. st"
overlaps,polished,0.7143,1.0000,0.1429,1.0000,True,relation,"In the late 1700s and early 1800s, many big changes happened. The Romantic movement grew. The Indust"
overlaps,polished,0.3922,1.0000,0.1765,0.0000,True,relation,"Four art styles took place at the same time.  
They are Modernism, Cubism, Surrealism, and Expressio"
