participant_id,explanation_id,question_id,question_type,answer,score,response_time_sec,domain,bucket
,fina_43719,fina_43719.q05,mcq,,,,financial,point
,cult_9645,cult_9645.q01,mcq,,,,cultural,point
,cult_9645,cult_9645.q02,fill_blank,,,,cultural,point
,cult_9645,cult_9645.q03,mcq,,,,cultural,point
,cult_9645,cult_9645.q04,mcq,,,,cultural,point
,cult_9645,cult_9645.q05,mcq,,,,cultural,point
,fina_tech_14757,fina_tech_14757.q01,mcq,,,,"['financial', 'technical']",sequence
,fina_tech_14757,fina_tech_14757.q02,fill_blank,,,,"['financial', 'technical']",sequence
,fina_tech_14757,fina_tech_14757.q03,timeline,,,,"['financial', 'technical']",sequence
,fina_tech_14757,fina_tech_14757.q04,mcq,,,,"['financial', 'technical']",sequence
,fina_tech_14757,fina_tech_14757.q05,mcq,,,,"['financial', 'technical']",sequence
,fina_42065,fina_42065.q01,mcq,,,,financial,causal
,fina_42065,fina_42065.q02,fill_blank,,,,financial,causal
,fina_42065,fina_42065.q03,inference,,,,financial,causal
,fina_42065,fina_42065.q04,mcq,,,,financial,causal
,fina_42065,fina_42065.q05,mcq,,,,financial,causal
,tech_48164,tech_48164.q01,mcq,,,,technical,causal
,tech_48164,tech_48164.q02,fill_blank,,,,technical,causal
,tech_48164,tech_48164.q03,inference,,,,technical,causal
,tech_48164,tech_48164.q04,mcq,,,,technical,causal
,tech_48164,tech_48164.q05,mcq,,,,technical,causal
,geop_12280,geop_12280.q01,mcq,,,,geopolitical,point
,geop_12280,geop_12280.q02,fill_blank,,,,geopolitical,point
,geop_12280,geop_12280.q03,mcq,,,,geopolitical,point
,geop_12280,geop_12280.q04,mcq,,,,geopolitical,point
,geop_12280,geop_12280.q05,mcq,,,,geopolitical,point
,cult_8534,cult_8534.q01,mcq,,,,cultural,interval
,cult_8534,cult_8534.q02,fill_blank,,,,cultural,interval
,cult_8534,cult_8534.q03,mcq,,,,cultural,interval
,cult_8534,cult_8534.q04,mcq,,,,cultural,interval
,cult_8534,cult_8534.q05,mcq,,,,cultural,interval
,fina_4642,fina_4642.q01,mcq,,,,financial,point
,fina_4642,fina_4642.q02,fill_blank,,,,financial,point
,fina_4642,fina_4642.q03,mcq,,,,financial,point
,fina_4642,fina_4642.q04,mcq,,,,financial,point
,fina_4642,fina_4642.q05,mcq,,,,financial,point
,medi_34832,medi_34832.q01,mcq,,,,medical,point
,medi_34832,medi_34832.q02,fill_blank,,,,medical,point
,medi_34832,medi_34832.q03,mcq,,,,medical,point
,medi_34832,medi_34832.q04,mcq,,,,medical,point
,medi_34832,medi_34832.q05,mcq,,,,medical,point
,cult_14019,cult_14019.q01,mcq,,,,cultural,point
,cult_14019,cult_14019.q02,fill_blank,,,,cultural,point
,cult_14019,cult_14019.q03,mcq,,,,cultural,point
,cult_14019,cult_14019.q04,mcq,,,,cultural,point
,cult_14019,cult_14019.q05,mcq,,,,cultural,point
,tech_48864,tech_48864.q01,mcq,,,,technical,point
,tech_48864,tech_48864.q02,fill_blank,,,,technical,point
,tech_48864,tech_48864.q03,mcq,,,,technical,point
,tech_48864,tech_48864.q04,mcq,,,,technical,point
,tech_48864,tech_48864.q05,mcq,,,,technical,point
,geop_19313,geop_19313.q01,mcq,,,,geopolitics,overlap
,geop_19313,geop_19313.q02,fill_blank,,,,geopolitics,overlap
,geop_19313,geop_19313.q03,mcq,,,,geopolitics,overlap
,geop_19313,geop_19313.q04,mcq,,,,geopolitics,overlap
,geop_19313,geop_19313.q05,mcq,,,,geopolitics,overlap
,fina_1965,fina_1965.q01,mcq,,,,financial,causal
,fina_1965,fina_1965.q02,fill_blank,,,,financial,causal
,fina_1965,fina_1965.q03,inference,,,,financial,causal
,fina_1965,fina_1965.q04,mcq,,,,financial,causal
,fina_1965,fina_1965.q05,mcq,,,,financial,causal
,scie_tech_28290,scie_tech_28290.q01,mcq,,,,"['science', 'technical']",point
,scie_tech_28290,scie_tech_28290.q02,fill_blank,,,,"['science', 'technical']",point
,scie_tech_28290,scie_tech_28290.q03,mcq,,,,"['science', 'technical']",point
,scie_tech_28290,scie_tech_28290.q04,mcq,,,,"['science', 'technical']",point
,scie_tech_28290,scie_tech_28290.q05,mcq,,,,"['science', 'technical']",point
,hist_8277,hist_8277.q01,mcq,,,,historical,point
,hist_8277,hist_8277.q02,fill_blank,,,,historical,point
,hist_8277,hist_8277.q03,mcq,,,,historical,point
,hist_8277,hist_8277.q04,mcq,,,,historical,point
,hist_8277,hist_8277.q05,mcq,,,,historical,point
,fina_tech_44897,fina_tech_44897.q01,mcq,,,,"['financial', 'technical']",interval
,fina_tech_44897,fina_tech_44897.q02,fill_blank,,,,"['financial', 'technical']",interval
,fina_tech_44897,fina_tech_44897.q03,mcq,,,,"['financial', 'technical']",interval
,fina_tech_44897,fina_tech_44897.q04,mcq,,,,"['financial', 'technical']",interval
,fina_tech_44897,fina_tech_44897.q05,mcq,,,,"['financial', 'technical']",interval
,fina_39893,fina_39893.q01,mcq,,,,financial,other
,fina_39893,fina_39893.q02,fill_blank,,,,financial,other
,fina_39893,fina_39893.q03,mcq,,,,financial,other
,fina_39893,fina_39893.q04,mcq,,,,financial,other
,fina_39893,fina_39893.q05,mcq,,,,financial,other
,fina_946,fina_946.q01,mcq,,,,financial,point
,fina_946,fina_946.q02,fill_blank,,,,financial,point
,fina_946,fina_946.q03,mcq,,,,financial,point
,fina_946,fina_946.q04,mcq,,,,financial,point
,fina_946,fina_946.q05,mcq,,,,financial,point
,geop_18079,geop_18079.q01,mcq,,,,geopolitics,point
,geop_18079,geop_18079.q02,fill_blank,,,,geopolitics,point
,geop_18079,geop_18079.q03,mcq,,,,geopolitics,point
,geop_18079,geop_18079.q04,mcq,,,,geopolitics,point
,geop_18079,geop_18079.q05,mcq,,,,geopolitics,point
,cult_9615,cult_9615.q01,mcq,,,,cultural,point
,cult_9615,cult_9615.q02,fill_blank,,,,cultural,point
,cult_9615,cult_9615.q03,mcq,,,,cultural,point
,cult_9615,cult_9615.q04,mcq,,,,cultural,point
,cult_9615,cult_9615.q05,mcq,,,,cultural,point
,hist_5568,hist_5568.q01,mcq,,,,historical,sequence
,hist_5568,hist_5568.q02,fill_blank,,,,historical,sequence
,hist_5568,hist_5568.q03,timeline,,,,historical,sequence
,hist_5568,hist_5568.q04,mcq,,,,historical,sequence
,hist_5568,hist_5568.q05,mcq,,,,historical,sequence
,geop_17201,geop_17201.q01,mcq,,,,geopolitical,overlap
,geop_17201,geop_17201.q02,fill_blank,,,,geopolitical,overlap
,geop_17201,geop_17201.q03,mcq,,,,geopolitical,overlap
,geop_17201,geop_17201.q04,mcq,,,,geopolitical,overlap
,geop_17201,geop_17201.q05,mcq,,,,geopolitical,overlap
,tech_fina_29567,tech_fina_29567.q01,mcq,,,,"['technical', 'financial']",point
,tech_fina_29567,tech_fina_29567.q02,fill_blank,,,,"['technical', 'financial']",point
,tech_fina_29567,tech_fina_29567.q03,mcq,,,,"['technical', 'financial']",point
,tech_fina_29567,tech_fina_29567.q04,mcq,,,,"['technical', 'financial']",point
,tech_fina_29567,tech_fina_29567.q05,mcq,,,,"['technical', 'financial']",point
,tech_48867,tech_48867.q01,fill_blank,,,,technical,point
,tech_48867,tech_48867.q02,mcq,,,,technical,point
,tech_48867,tech_48867.q03,mcq,,,,technical,point
,tech_48867,tech_48867.q04,mcq,,,,technical,point
,tech_48867,tech_48867.q05,mcq,,,,technical,point
,hist_28629,hist_28629.q01,mcq,,,,historical,point
,hist_28629,hist_28629.q02,fill_blank,,,,historical,point
,hist_28629,hist_28629.q03,mcq,,,,historical,point
,hist_28629,hist_28629.q04,mcq,,,,historical,point
,hist_28629,hist_28629.q05,mcq,,,,historical,point
,cult_9143,cult_9143.q01,mcq,,,,cultural,overlap
,cult_9143,cult_9143.q02,fill_blank,,,,cultural,overlap
,cult_9143,cult_9143.q03,mcq,,,,cultural,overlap
,cult_9143,cult_9143.q04,mcq,,,,cultural,overlap
,cult_9143,cult_9143.q05,mcq,,,,cultural,overlap
,geop_16825,geop_16825.q01,mcq,,,,geopolitics,causal
,geop_16825,geop_16825.q02,fill_blank,,,,geopolitics,causal
,geop_16825,geop_16825.q03,inference,,,,geopolitics,causal
,geop_16825,geop_16825.q04,mcq,,,,geopolitics,causal
,geop_16825,geop_16825.q05,mcq,,,,geopolitics,causal
,tech_23316,tech_23316.q01,mcq,,,,technical,sequence
,tech_23316,tech_23316.q02,fill_blank,,,,technical,sequence
,tech_23316,tech_23316.q03,timeline,,,,technical,sequence
,tech_23316,tech_23316.q04,mcq,,,,technical,sequence
,tech_23316,tech_23316.q05,mcq,,,,technical,sequence
,geop_15339,geop_15339.q01,mcq,,,,geopolitical,point
,geop_15339,geop_15339.q02,fill_blank,,,,geopolitical,point
,geop_15339,geop_15339.q03,mcq,,,,geopolitical,point
,geop_15339,geop_15339.q04,mcq,,,,geopolitical,point
,geop_15339,geop_15339.q05,mcq,,,,geopolitical,point
,medi_31908,medi_31908.q01,mcq,,,,medical,causal
,medi_31908,medi_31908.q02,fill_blank,,,,medical,causal
,medi_31908,medi_31908.q03,inference,,,,medical,causal
,medi_31908,medi_31908.q04,mcq,,,,medical,causal
,medi_31908,medi_31908.q05,mcq,,,,medical,causal
,spor_49547,spor_49547.q01,mcq,,,,sports,point
,spor_49547,spor_49547.q02,fill_blank,,,,sports,point
,spor_49547,spor_49547.q03,mcq,,,,sports,point
,spor_49547,spor_49547.q04,mcq,,,,sports,point
,spor_49547,spor_49547.q05,mcq,,,,sports,point
,tech_36039,tech_36039.q01,mcq,,,,technical,point
,tech_36039,tech_36039.q02,fill_blank,,,,technical,point
,tech_36039,tech_36039.q03,mcq,,,,technical,point
,tech_36039,tech_36039.q04,mcq,,,,technical,point
,tech_36039,tech_36039.q05,mcq,,,,technical,point
,tech_36987,tech_36987.q01,mcq,,,,technical,point
,tech_36987,tech_36987.q02,fill_blank,,,,technical,point
,tech_36987,tech_36987.q03,mcq,,,,technical,point
,tech_36987,tech_36987.q04,mcq,,,,technical,point
,tech_36987,tech_36987.q05,mcq,,,,technical,point
,scie_28158,scie_28158.q01,mcq,,,,science_tech,point
,scie_28158,scie_28158.q02,fill_blank,,,,science_tech,point
,scie_28158,scie_28158.q03,mcq,,,,science_tech,point
,scie_28158,scie_28158.q04,mcq,,,,science_tech,point
,scie_28158,scie_28158.q05,mcq,,,,science_tech,point
,tech_44016,tech_44016.q01,fill_blank,,,,technical,point
,tech_44016,tech_44016.q02,mcq,,,,technical,point
,tech_44016,tech_44016.q03,mcq,,,,technical,point
,tech_44016,tech_44016.q04,mcq,,,,technical,point
,tech_44016,tech_44016.q05,mcq,,,,technical,point
,hist_23871,hist_23871.q01,mcq,,,,historical,sequence
,hist_23871,hist_23871.q02,fill_blank,,,,historical,sequence
,hist_23871,hist_23871.q03,timeline,,,,historical,sequence
,hist_23871,hist_23871.q04,mcq,,,,historical,sequence
,hist_23871,hist_23871.q05,mcq,,,,historical,sequence
,scie_28174,scie_28174.q01,mcq,,,,science_tech,point
,scie_28174,scie_28174.q02,fill_blank,,,,science_tech,point
,scie_28174,scie_28174.q03,mcq,,,,science_tech,point
,scie_28174,scie_28174.q04,mcq,,,,science_tech,point
,scie_28174,scie_28174.q05,mcq,,,,science_tech,point
,hist_geop_41914,hist_geop_41914.q01,mcq,,,,"['historical', 'geopolitical']",causal
,hist_geop_41914,hist_geop_41914.q02,fill_blank,,,,"['historical', 'geopolitical']",causal
,hist_geop_41914,hist_geop_41914.q03,inference,,,,"['historical', 'geopolitical']",causal
,hist_geop_41914,hist_geop_41914.q04,mcq,,,,"['historical', 'geopolitical']",causal
,hist_geop_41914,hist_geop_41914.q05,mcq,,,,"['historical', 'geopolitical']",causal
,hist_20565,hist_20565.q01,mcq,,,,historical,point
,hist_20565,hist_20565.q02,fill_blank,,,,historical,point
,hist_20565,hist_20565.q03,mcq,,,,historical,point
,hist_20565,hist_20565.q04,mcq,,,,historical,point
,hist_20565,hist_20565.q05,mcq,,,,historical,point
,fina_43002,fina_43002.q01,mcq,,,,financial,other
,fina_43002,fina_43002.q02,fill_blank,,,,financial,other
,fina_43002,fina_43002.q03,mcq,,,,financial,other
,fina_43002,fina_43002.q04,mcq,,,,financial,other
,fina_43002,fina_43002.q05,mcq,,,,financial,other
,hist_7692,hist_7692.q01,mcq,,,,historical,overlap
,hist_7692,hist_7692.q02,fill_blank,,,,historical,overlap
,hist_7692,hist_7692.q03,mcq,,,,historical,overlap
,hist_7692,hist_7692.q04,mcq,,,,historical,overlap
,hist_7692,hist_7692.q05,mcq,,,,historical,overlap
,fina_22677,fina_22677.q01,mcq,,,,financial,point
,fina_22677,fina_22677.q02,fill_blank,,,,financial,point
,fina_22677,fina_22677.q03,mcq,,,,financial,point
,fina_22677,fina_22677.q04,mcq,,,,financial,point
,fina_22677,fina_22677.q05,mcq,,,,financial,point
,fina_38993,fina_38993.q01,mcq,,,,['financial'],causal
,fina_38993,fina_38993.q02,fill_blank,,,,['financial'],causal
,fina_38993,fina_38993.q03,inference,,,,['financial'],causal
,fina_38993,fina_38993.q04,mcq,,,,['financial'],causal
,fina_38993,fina_38993.q05,mcq,,,,['financial'],causal
